Genome ID,Completeness,Phylum,Class,Order,Family,Genus,Species,FliF,FliG,FliI,FliR,FlhA,FlhB,FlgB,FlgC,FlgE,FlgK,FliE,FliP,FliQ,MotA,MotB,FliH,FliM,FliK,FlgD,FlgL,FliO,FliC,FliJ,FliL,FlgN,FlgF,FlgG,FliS,FliD,FliA,FlhF,PilZ/YcgR,FliT,FlgJ,FlgM,FlhG,FlgI,FlgH,FlgA,FlaG,FliW,MotE,CsrA,FlgR/FlrC/FlrA/FlaK/FlbD,SwrB/FlgW,SwrD,Flagellar_put/Putative,yvyF,YviE/DUF6470,FlaF,FliB,MotC,MotK,MotX ,MotY,PflA,PflB,FlcA,FlcB,FlcC,FlcD,FlbT,FlgP,FlgT,FliZ,tPilZ/FlgX,FlhC,FlhD,DUF327,FapA/DUF342,DUF1217,FlgO,FlaY,YdiV,FlhE,FlgQ,flk,Glucosaminidase,SwrA,FljA,SLT/Transglycosylase,FliN/FliY
GCF_000382045.1,100.0,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_B,g__Variovorax,s__Variovorax paradoxus_A,WP_019657910.1,WP_019657911.1,WP_038116407.1,WP_026346774.1,WP_019657889.1,WP_019657890.1,WP_019656700.1,WP_019656701.1,WP_019656703.1,WP_019657928.1,WP_019657909.1,WP_026346773.1,WP_019657921.1,WP_019657899.1,WP_019657898.1,WP_019657912.1,WP_019657917.1,"WP_020723374.1,WP_244164404.1",WP_019656702.1,WP_019657927.1,WP_019657919.1,WP_019657908.1,WP_019657914.1,WP_019657916.1,WP_019656697.1,WP_019656704.1,WP_019656705.1,WP_019657905.1,WP_019657906.1,WP_026346769.1,WP_019657888.1,WP_051127540.1,WP_019657904.1,WP_019656708.1,WP_019656698.1,WP_019657887.1,WP_019656707.1,WP_051127638.1,WP_019656699.1,WP_019657907.1,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_019657900.1,WP_019657901.1,,,,,,,,,,,,,,WP_019657918.1
GCF_000145255.1,99.37,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Gallionellaceae,g__Gallionella,s__Gallionella capsiferriformans,WP_013293039.1,WP_013293038.1,WP_013293036.1,WP_013293027.1,WP_150102657.1,"WP_013293000.1,WP_013293043.1",WP_013293013.1,WP_013293014.1,WP_013293016.1,WP_013293022.1,WP_013293040.1,WP_013293029.1,WP_013293028.1,"WP_013292978.1,WP_013293005.1","WP_013292096.1,WP_013292979.1,WP_013293006.1",WP_013293037.1,WP_013293032.1,"WP_013293034.1,WP_013293044.1",WP_013293015.1,WP_013293023.1,WP_013293030.1,WP_013293049.1,WP_013293035.1,WP_013293033.1,WP_013293007.1,WP_013293017.1,WP_013293018.1,WP_013293046.1,WP_013293047.1,WP_013293004.1,WP_013293002.1,"WP_013292599.1,WP_150102575.1",WP_083777083.1,WP_013293021.1,WP_013293008.1,WP_013293003.1,WP_013293020.1,WP_223293734.1,WP_013293012.1,WP_013293048.1,WP_013293784.1,,,,,,,,,,,,,,,,,,,,,,,,,,WP_013292977.1,WP_013292976.1,,,,,,,,,,,,,,WP_013293031.1
GCF_900106555.1,99.76,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas oligotropha_A,WP_090315370.1,WP_090315372.1,WP_090315376.1,WP_090315393.1,WP_090315954.1,"WP_090315956.1,WP_090318583.1",WP_090316875.1,WP_090316871.1,WP_090316865.1,WP_090316847.1,WP_090315362.1,WP_090315683.1,WP_090315391.1,"WP_090319663.1,WP_256206067.1","WP_090315944.1,WP_090319666.1",WP_090315374.1,WP_090315384.1,"WP_090315380.1,WP_090318580.1",WP_090316868.1,WP_090316844.1,WP_090315388.1,"WP_090318565.1,WP_090320298.1",WP_090315378.1,WP_090315382.1,WP_256206066.1,WP_090316862.1,WP_090316859.1,WP_090318574.1,WP_090318571.1,WP_090315945.1,WP_090315950.1,"WP_090317994.1,WP_090318586.1,WP_090318951.1",WP_090318577.1,WP_090316850.1,WP_090315938.1,WP_090315947.1,WP_090316853.1,WP_256206129.1,WP_090316878.1,WP_090318568.1,,,,WP_176776340.1,,,,,,,,,,,,,,,,,,,,,,,WP_090322464.1,WP_090322474.1,,,,,,,,,,,,,,WP_090315386.1
GCF_004346685.1,99.37,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__SMCO01,g__Sulfurirhabdus,s__Sulfurirhabdus autotrophica,WP_124947331.1,WP_124947332.1,WP_124947334.1,WP_124947342.1,WP_124947366.1,"WP_124947365.1,WP_124947854.1",WP_124947376.1,WP_124947377.1,WP_124947379.1,WP_124947384.1,WP_124947330.1,WP_124947981.1,WP_124947341.1,"WP_124947370.1,WP_124947839.1","WP_124947371.1,WP_124947838.1",WP_124947333.1,WP_124947338.1,"WP_124947855.1,WP_165922900.1",WP_124947378.1,WP_124947385.1,WP_124947340.1,"WP_124947857.1,WP_124947858.1",WP_124947335.1,"WP_124947337.1,WP_165922973.1",WP_165922898.1,WP_124947380.1,WP_124947381.1,WP_124947861.1,WP_124947860.1,WP_124947369.1,WP_124947367.1,"WP_124944786.1,WP_124945985.1,WP_124945986.1,WP_124948137.1",WP_124947862.1,WP_124947383.1,WP_165922897.1,WP_165922899.1,WP_124947983.1,WP_124947382.1,WP_124947374.1,WP_124947859.1,,,,WP_124947329.1,WP_124947856.1,,,,,,,,,,,,,,,,,,,,,WP_124947878.1,,,,,,,,,,,,,,,,WP_124947339.1
GCF_000378225.1,100.0,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__Methylophilus,s__Methylophilus methylotrophus,WP_018985022.1,WP_026295166.1,WP_033413065.1,WP_018985034.1,WP_245545142.1,"WP_018985020.1,WP_018985216.1","WP_018985045.1,WP_018986720.1",WP_018985044.1,WP_018985042.1,WP_018985036.1,WP_018985021.1,WP_026295169.1,WP_018985033.1,"WP_018985211.1,WP_018985220.1","WP_018985210.1,WP_018985221.1",WP_018985024.1,WP_018985029.1,"WP_018985019.1,WP_018985027.1",WP_018985043.1,WP_018985035.1,WP_018985031.1,WP_018985014.1,WP_018985026.1,WP_018985028.1,WP_018985048.1,WP_018985041.1,WP_018985040.1,WP_018985017.1,WP_018985016.1,WP_018985212.1,WP_018985214.1,WP_081620829.1,WP_018985018.1,WP_018985037.1,WP_026295170.1,WP_018985213.1,WP_018985038.1,WP_033413067.1,WP_018985046.1,WP_018985015.1,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_018985218.1,WP_018985217.1,,,,,,,,,,,,,,WP_178055167.1
GCF_000373385.1,100.0,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Thiobacillaceae,g__Thiobacillus,s__Thiobacillus thioparus,"WP_018508267.1,WP_018509513.1","WP_018508268.1,WP_026240991.1","WP_018508270.1,WP_026240992.1","WP_018508276.1,WP_018509525.1","WP_018508402.1,WP_026240817.1",WP_018509509.1,WP_026240728.1,WP_018507817.1,WP_018507819.1,WP_018507825.1,WP_018509512.1,"WP_018508274.1,WP_157265981.1","WP_018508275.1,WP_026240993.1","WP_018508406.1,WP_026240827.1","WP_018508400.1,WP_018508407.1","WP_018508269.1,WP_018509515.1",WP_018509520.1,"WP_081616825.1,WP_157265963.1",WP_018507818.1,WP_018507826.1,"WP_018508273.1,WP_018509522.1",WP_018509503.1,"WP_018508271.1,WP_018509517.1",WP_018509519.1,WP_018507813.1,WP_018507820.1,WP_018507821.1,WP_018509506.1,WP_018509505.1,"WP_018508355.1,WP_018508405.1","WP_018508353.1,WP_018508403.1","WP_018507463.1,WP_026240990.1",WP_018509507.1,WP_018507824.1,"WP_018507814.1,WP_018508783.1","WP_018506560.1,WP_157265774.1",WP_026240730.1,WP_026240729.1,WP_018507815.1,WP_051082153.1,,,,,,,,,,WP_018507607.1,,,,,,,,,,,,,,,,,WP_018508397.1,WP_018508396.1,,,,,,,,,,,,,,WP_018509521.1
GCF_000430805.1,99.96,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Chitinibacteraceae,g__Chitinilyticum,s__Chitinilyticum aquatile,WP_051278972.1,WP_245579336.1,WP_155845310.1,WP_028453340.1,WP_245579381.1,"WP_028453347.1,WP_051278818.1",WP_028453112.1,WP_028453111.1,WP_028453110.1,WP_028453104.1,WP_028451900.1,WP_155845455.1,WP_028453341.1,"WP_028451201.1,WP_028453355.1","WP_028451202.1,WP_028453006.1,WP_028453681.1",WP_051278971.1,WP_028453345.1,"WP_028453346.1,WP_162143284.1",WP_051279488.1,WP_028453103.1,WP_034641508.1,"WP_034640585.1,WP_245579326.1",WP_028451896.1,WP_051279568.1,WP_028451344.1,WP_028453109.1,WP_028453108.1,WP_034639314.1,WP_028451352.1,WP_028453354.1,WP_162143343.1,"WP_028453300.1,WP_028453310.1,WP_051279210.1,WP_162143342.1",WP_028451351.1,WP_028453105.1,WP_028451343.1,WP_028453350.1,WP_028453106.1,WP_051279486.1,WP_028451253.1,WP_051278820.1,WP_028451810.1,,,WP_028451901.1,WP_028451350.1,,,,,,,,,,,,,,,,,,WP_051279758.1,WP_034642039.1,,,,,,,,,,,,,,,,,,WP_028453344.1
GCF_002081825.1,99.15,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Chromobacteriaceae,g__Chromobacterium,s__Chromobacterium haemolyticum_A,"WP_254894521.1,WP_254894616.1,WP_254894629.1","WP_081545799.1,WP_081549895.1,WP_081550729.1","WP_081545794.1,WP_081550725.1","WP_081545813.1,WP_081549907.1,WP_081550716.1","WP_081545390.1,WP_081545817.1,WP_081549911.1",WP_019103813.1,"WP_081546725.1,WP_081551223.1,WP_254894615.1","WP_019102950.1,WP_081546723.1,WP_081549865.1","WP_081546719.1,WP_081549861.1,WP_081551221.1","WP_043594408.1,WP_081546711.1,WP_081549851.1","WP_019099998.1,WP_081545803.1,WP_081549897.1","WP_081550717.1,WP_254894522.1,WP_254894617.1","WP_019099986.1,WP_081545811.1,WP_081549905.1","WP_019102267.1,WP_039755446.1,WP_081544466.1,WP_081545394.1,WP_081549843.1","WP_043593929.1,WP_081545704.1,WP_081545921.1,WP_081549841.1","WP_081545797.1,WP_081549893.1,WP_081550727.1","WP_081549899.1,WP_081550719.1,WP_141111143.1","WP_081545452.1,WP_081550723.1,WP_141111326.1,WP_254894528.1","WP_081546721.1,WP_081549863.1,WP_081551222.1","WP_043594410.1,WP_081546709.1,WP_081549849.1",WP_254894628.1,"WP_048414322.1,WP_081545457.1,WP_081546703.1,WP_081547073.1,WP_081549845.1","WP_043590291.1,WP_081549889.1,WP_141111364.1","WP_081545784.1,WP_141111325.1,WP_240937508.1","WP_019102271.1,WP_081545313.1,WP_176219617.1","WP_081546717.1,WP_081549859.1,WP_081551220.1","WP_043593001.1,WP_081551219.1,WP_176219616.1","WP_081545790.1,WP_176219618.1,WP_254894506.1","WP_081544713.1,WP_081545456.1,WP_081545792.1,WP_081549887.1","WP_081545393.1,WP_081545781.1,WP_081549877.1",WP_081545391.1,"WP_081545720.1,WP_240937193.1","WP_019101794.1,WP_081545454.1,WP_081545788.1","WP_081549853.1,WP_081551213.1,WP_254894539.1","WP_019100618.1,WP_019102270.1,WP_081549875.1",WP_081545392.1,"WP_081551215.1,WP_240937380.1,WP_254894614.1","WP_081549857.1,WP_081551217.1,WP_254894540.1","WP_081545312.1,WP_081549869.1,WP_176219651.1",WP_043642102.1,WP_081546675.1,,,WP_081550733.1,WP_081545453.1,,,,,,,,,,,,,,,,,,WP_081545621.1,WP_081545666.1,,WP_081545879.1,,,,,,,,,,,,"WP_081545779.1,WP_081549871.1",,,,"WP_081545807.1,WP_081549901.1,WP_141111368.1"
GCF_000620105.1,100.0,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Aquaspirillaceae,g__Microvirgula,s__Microvirgula aerodenitrificans,"WP_169735642.1,WP_244879547.1",WP_028497668.1,"WP_036385843.1,WP_084299694.1","WP_028497677.1,WP_169735639.1","WP_028499084.1,WP_028500182.1",WP_028497926.1,"WP_028498054.1,WP_156952512.1","WP_028498053.1,WP_051528812.1","WP_028498051.1,WP_028499092.1",WP_036385089.1,"WP_028497666.1,WP_051528813.1","WP_051528588.1,WP_051528816.1","WP_028497676.1,WP_028499081.1",WP_028498437.1,WP_028498436.1,"WP_028499088.1,WP_169735623.1","WP_028497673.1,WP_028499093.1","WP_028497925.1,WP_158537403.1","WP_028498052.1,WP_028499091.1",WP_028498044.1,"WP_051528587.1,WP_156952514.1",WP_028497880.1,"WP_028497670.1,WP_028499089.1",WP_051528586.1,WP_028497975.1,"WP_028498050.1,WP_169735640.1","WP_028498049.1,WP_051528810.1,WP_084300013.1",WP_146744992.1,WP_028497879.1,WP_028500184.1,WP_028500183.1,"WP_028498229.1,WP_028499416.1",WP_169735625.1,WP_051528636.1,WP_028497976.1,WP_051529020.1,"WP_036385090.1,WP_051528834.1",WP_028498048.1,"WP_146744996.1,WP_169735641.1",WP_084299760.1,WP_028498040.1,,,WP_028497665.1,WP_028497876.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WP_028497674.1,WP_051528815.1"
GCF_900460525.1,99.95,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Yersinia,s__Yersinia kristensenii,"WP_004390047.1,WP_004392714.1","WP_032819596.1,WP_032820943.1","WP_004392716.1,WP_032819595.1","WP_004392155.1,WP_032819599.1","WP_049556973.1,WP_071777593.1",no_hits,"WP_004392144.1,WP_032819589.1","WP_004390025.1,WP_004392145.1","WP_004390018.1,WP_004392147.1","WP_032819586.1,WP_098080817.1","WP_004390049.1,WP_004392712.1","WP_004390056.1,WP_115155904.1","WP_004390057.1,WP_004392156.1","WP_004392122.1,WP_032819576.1","WP_004389989.1,WP_032820643.1","WP_004390044.1,WP_032820944.1","WP_004390052.1,WP_004392159.1","WP_032819577.1,WP_032820661.1","WP_004390023.1,WP_004392146.1","WP_032820665.1,WP_244916309.1",WP_004392158.1,"WP_004392700.1,WP_032819581.1","WP_004392162.1,WP_032819592.1","WP_004389992.1,WP_004392160.1","WP_004390032.1,WP_032820656.1","WP_004392148.1,WP_032819588.1","WP_004390017.1,WP_004392149.1","WP_032819579.1,WP_032820939.1","WP_032819580.1,WP_032820937.1","WP_004392699.1,WP_080548265.1",,WP_032820732.1,"WP_004392705.1,WP_032819578.1","WP_004390014.1,WP_032820658.1","WP_004390030.1,WP_004392142.1",,"WP_004390015.1,WP_004392151.1","WP_004392150.1,WP_032819587.1","WP_032819590.1,WP_032820657.1",,,,,WP_032819654.1,,,,,,,,,,,,,,,,,,,,,,,WP_004392121.1,WP_004392120.1,,,,,,,WP_032820654.1,,WP_004391592.1,,,,,"WP_032819598.1,WP_032820660.1"
GCF_003697165.2,99.97,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,WP_000994426.1,WP_000067942.1,WP_000213297.1,WP_000983977.1,"WP_000066983.1,WP_001447225.1",WP_001278942.1,WP_000884694.1,WP_001196460.1,WP_000885888.1,WP_000096493.1,WP_001274301.1,WP_001253446.1,WP_000187358.1,WP_000906342.1,"WP_000207544.1,WP_000795632.1",WP_001282665.1,WP_001295641.1,WP_000620134.1,WP_000020484.1,WP_001212764.1,WP_001302429.1,WP_000079688.1,WP_000807591.1,WP_000133106.1,WP_000197362.1,WP_000349326.1,WP_000625837.1,WP_000270663.1,WP_000146790.1,WP_001087470.1,,WP_000020122.1,WP_001057836.1,WP_001331933.1,WP_000020884.1,,WP_000589326.1,WP_001295442.1,WP_000955709.1,,,,,,,,,,,,,,,,,,,,,,,,,,WP_001350673.1,,WP_001291603.1,WP_001295647.1,,,,,,WP_001329855.1,WP_001202075.1,,WP_000615815.1,,,,,WP_001282088.1
GCF_000225445.1,100.0,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Buchnera,s__Buchnera aphidicola_A,WP_014499238.1,WP_014499239.1,WP_044005629.1,WP_014499248.1,WP_014499398.1,WP_014499397.1,WP_014499485.1,WP_014499486.1,WP_014499488.1,WP_014499494.1,WP_014499237.1,WP_014499246.1,WP_014499247.1,,,WP_014499240.1,WP_144011078.1,WP_079172775.1,WP_014499487.1,,WP_014499246.1,,WP_014499242.1,,WP_014499483.1,WP_014499489.1,WP_014499490.1,,,,,,,WP_014499493.1,,,WP_014499492.1,WP_014499491.1,WP_014499484.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_014499245.1
GCF_000284315.1,94.49,p__Nitrospirota_A,c__Leptospirillia,o__Leptospirillales,f__Leptospirillaceae,g__Leptospirillum,s__Leptospirillum ferrooxidans,WP_014448485.1,WP_014448486.1,WP_014448488.1,WP_014448499.1,WP_014448501.1,"WP_014448500.1,WP_014448514.1",WP_014448482.1,WP_014448483.1,WP_014448493.1,WP_014450253.1,WP_014448484.1,WP_014448497.1,WP_232502544.1,WP_014448509.1,WP_014448510.1,WP_014448487.1,"WP_014448737.1,WP_014450228.1",WP_014448491.1,WP_014448492.1,WP_014450252.1,WP_014448496.1,"WP_014450249.1,WP_014450256.1",WP_014448489.1,WP_014448494.1,WP_014450254.1,WP_232502524.1,WP_014450261.1,WP_041774388.1,WP_014450248.1,WP_014448504.1,WP_014448502.1,,WP_014450246.1,WP_014450257.1,WP_014450255.1,WP_014448503.1,WP_014450258.1,WP_158310272.1,WP_014450260.1,,WP_014450250.1,WP_014448490.1,WP_041774390.1,WP_014448481.1,WP_014448512.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_014448495.1
GCF_000007985.2,99.35,p__Desulfobacterota_F,c__Desulfuromonadia,o__Geobacterales,f__Geobacteraceae,g__Geobacter,s__Geobacter sulfurreducens,WP_010941078.1,WP_010941079.1,WP_010941081.1,WP_010941094.1,WP_010943681.1,"WP_010941037.1,WP_010941095.1",WP_010941075.1,WP_010941076.1,WP_010941087.1,WP_010943669.1,WP_010941077.1,WP_010941092.1,WP_010941093.1,WP_010943654.1,WP_010943655.1,WP_010941080.1,WP_010941089.1,"WP_010941038.1,WP_010941084.1",WP_010941085.1,WP_010943668.1,WP_010941091.1,WP_010943665.1,WP_010941082.1,WP_010941088.1,WP_010943670.1,WP_010943677.1,WP_010943676.1,WP_010943663.1,WP_010943664.1,WP_010943678.1,WP_010943680.1,"WP_010941896.1,WP_010943660.1,WP_235044976.1",WP_010943662.1,WP_010943672.1,"WP_010942825.1,WP_010943671.1",WP_010943679.1,WP_010943673.1,WP_010943674.1,WP_010943675.1,WP_010943643.1,WP_010943666.1,WP_235044951.1,WP_010943667.1,,,WP_010943653.1,WP_010941086.1,,,,,,,,,,,,,,,,,,,,,,,WP_010941180.1,,,,,,,,,,,WP_010940970.1,WP_010941090.1
GCF_002093115.1,99.35,p__Desulfobacterota_F,c__Desulfuromonadia,o__Desulfuromonadales,f__Geothermobacteraceae,g__PPFX01,s__PPFX01 sp002093115,WP_085008712.1,WP_085008710.1,WP_085008706.1,WP_085008676.1,WP_085008672.1,"WP_085008593.1,WP_085008674.1",WP_085008718.1,WP_085008716.1,WP_085008693.1,WP_085008643.1,WP_085008714.1,WP_139800611.1,WP_085008678.1,WP_085008691.1,WP_085008689.1,WP_085008708.1,WP_085008685.1,"WP_085008699.1,WP_139800610.1",WP_085008697.1,WP_085008641.1,WP_085008682.1,WP_085008610.1,WP_085008703.1,WP_085008687.1,WP_085008646.1,WP_085008662.1,WP_085008659.1,WP_085008603.1,WP_085008606.1,WP_085008666.1,WP_085008670.1,WP_085008599.1,WP_085008601.1,WP_085008650.1,WP_085008648.1,WP_085008668.1,WP_085008652.1,WP_085008655.1,WP_085008657.1,WP_085008608.1,WP_085008637.1,WP_085008701.1,,,WP_085008664.1,,WP_085008695.1,,,,,,,,,,,,,,,,,,,,,,,WP_085011860.1,,,,,,,,,,,,WP_085008683.1
GCA_000091165.1,96.26,p__Methylomirabilota,c__Methylomirabilia,o__Methylomirabilales,f__Methylomirabilaceae,g__Methylomirabilis,s__Methylomirabilis oxyfera,CBE68814.1,CBE68813.1,CBE68811.1,CBE68795.1,CBE68793.1,"CBE68773.1,CBE68794.1",CBE68817.1,CBE68816.1,CBE68805.1,CBE68862.1,CBE68815.1,CBE68797.1,CBE68796.1,"CBE68822.1,CBE68876.1","CBE68823.1,CBE68875.1",CBE68812.1,CBE68800.1,"CBE68772.1,CBE68808.1","CBE68806.1,CBE68807.1",CBE68860.1,CBE68798.1,CBE68835.1,CBE68810.1,CBE68801.1,CBE68863.1,CBE68870.1,CBE68869.1,CBE68834.1,CBE68833.1,CBE68790.1,CBE68792.1,CBE68787.1,CBE68831.1,CBE68865.1,CBE68864.1,CBE68791.1,CBE68866.1,CBE68867.1,CBE68868.1,CBE68832.1,CBE68859.1,CBE68809.1,CBE68858.1,CBE68818.1,CBE68789.1,CBE68802.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBE68799.1
GCA_003696125.1,89.19,p__Tectomicrobia,c__Entotheonellia,o__J063,f__J063,g__J063,s__J063 sp003696125,RMF89198.1,RMF84593.1,RMF93401.1,RMF83338.1,"RMF83343.1,RMF88775.1","RMF83337.1,RMF90464.1",RMF89195.1,RMF89196.1,RMF91773.1,RMF90858.1,RMF89197.1,RMF83340.1,RMF83339.1,RMF88690.1,RMF88689.1,RMF84592.1,RMF83342.1,RMF90463.1,contig,RMF90859.1,RMF83341.1,"RMF88688.1,RMF93195.1",RMF93402.1,RMF91774.1,RMF90857.1,RMF90850.1,RMF90851.1,contig,RMF93196.1,,RMF88776.1,RMF89356.1,contig,RMF90855.1,RMF90856.1,RMF88777.1,RMF90854.1,RMF90853.1,RMF90852.1,RMF90862.1,RMF90861.1,RMF93403.1,RMF90860.1,,,,,,,,,,,,,,,,,,,,,,,,,,,RMF88691.1,,,,,,,,,,,,RMF83344.1
GCF_000341545.2,94.87,p__Nitrospinota,c__Nitrospinia,o__Nitrospinales,f__Nitrospinaceae,g__Nitrospina,s__Nitrospina gracilis,WP_005008186.1,WP_144079227.1,WP_005008181.1,WP_005011440.1,WP_042251255.1,no_hits,WP_005010154.1,WP_005008191.1,WP_005007178.1,"WP_042250315.1,WP_084603913.1",WP_005010155.1,WP_005011448.1,WP_005011441.1,"WP_005009671.1,WP_005010794.1,WP_005011409.1","WP_005009659.1,WP_005010790.1,WP_005011408.1",WP_005008183.1,WP_005011456.1,"WP_005010445.1,WP_144079075.1",WP_005007175.1,WP_005006245.1,WP_005011450.1,WP_084603887.1,WP_005008178.1,"WP_005005842.1,WP_005010450.1,WP_005011458.1",WP_005006243.1,WP_005006777.1,"WP_005006775.1,WP_005006810.1",WP_005011347.1,"WP_005008783.1,WP_005011338.1,WP_005011346.1,WP_144079172.1",WP_005011434.1,WP_005011438.1,WP_084604006.1,WP_005008786.1,WP_005006242.1,"WP_005009137.1,WP_005010349.1",WP_005011437.1,WP_005006771.1,WP_005006773.1,WP_005006774.1,WP_005007453.1,WP_005009614.1,WP_052338201.1,WP_005009613.1,WP_005008197.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_005011454.1
GCF_001458695.1,96.82,p__Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira_F,s__Nitrospira_F inopinata,WP_062485184.1,WP_062485186.1,WP_062485190.1,WP_062485212.1,WP_062485216.1,WP_062485214.1,WP_158023342.1,WP_062485182.1,WP_062485201.1,WP_158023345.1,WP_082633713.1,WP_062485210.1,WP_062487962.1,WP_062485442.1,WP_062485444.1,WP_062485188.1,WP_062485205.1,WP_062485197.1,WP_062485199.1,WP_062485240.1,WP_062485207.1,WP_062485425.1,WP_062485192.1,WP_062485203.1,WP_158023344.1,WP_062485224.1,WP_062485225.1,WP_062485431.1,WP_062485429.1,WP_158023343.1,WP_062485218.1,WP_082633743.1,WP_062485433.1,WP_062485231.1,WP_062485233.1,WP_082633717.1,WP_197549038.1,WP_062485229.1,WP_062485227.1,WP_062485427.1,WP_062485244.1,WP_062485195.1,WP_062485241.1,WP_062485178.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_082633715.1
GCF_001514535.1,100.0,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__Thermodesulfovibrionaceae,g__Thermodesulfovibrio,s__Thermodesulfovibrio aggregans,WP_059175898.1,WP_059175897.1,WP_059175895.1,WP_059175693.1,WP_236698881.1,"WP_059175694.1,WP_059175774.1",WP_059175901.1,WP_059175900.1,WP_059175890.1,WP_059175714.1,WP_059175899.1,,WP_059175692.1,"WP_059175563.1,WP_059176525.1","WP_059175562.1,WP_059175565.1",WP_059175896.1,WP_059175690.1,WP_082673535.1,WP_059175891.1,WP_059175715.1,,WP_059176698.1,WP_161936160.1,WP_059175689.1,WP_059175713.1,WP_059175707.1,WP_059175708.1,WP_059176701.1,WP_059176700.1,WP_059175698.1,WP_059175696.1,WP_161936153.1,WP_059176702.1,WP_059175711.1,WP_059175712.1,WP_059175697.1,WP_236698882.1,WP_059175710.1,WP_059175709.1,WP_059176699.1,WP_153000417.1,WP_059175893.1,WP_059175716.1,WP_059175902.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_059175691.1
GCF_000143965.1,98.71,p__Desulfobacterota,c__Desulfarculia,o__Desulfarculales,f__Desulfarculaceae,g__Desulfarculus,s__Desulfarculus baarsii,WP_013257736.1,WP_013257737.1,WP_013257739.1,WP_013259118.1,WP_013259120.1,"WP_013259119.1,WP_013259129.1",WP_013257733.1,WP_013257734.1,"WP_013258446.1,WP_013259108.1",WP_013259137.1,WP_013257735.1,WP_013259116.1,WP_013259117.1,"WP_013257179.1,WP_013258059.1,WP_013258440.1,WP_013259109.1","WP_013257178.1,WP_013258058.1,WP_013258441.1,WP_013259110.1,WP_013259111.1",WP_013257738.1,WP_013259113.1,"WP_013259106.1,WP_013259128.1",WP_013259107.1,WP_013259138.1,WP_013259115.1,WP_013259465.1,WP_013257740.1,"WP_013259112.1,WP_013259125.1",WP_013259136.1,WP_013259130.1,"WP_013258672.1,WP_013259131.1",WP_013259152.1,WP_013259153.1,WP_013259123.1,WP_013259121.1,"WP_013256959.1,WP_013257069.1,WP_013258786.1,WP_043813852.1",WP_013259151.1,WP_013259135.1,WP_013259141.1,WP_013259122.1,WP_013259134.1,WP_013259133.1,WP_013259132.1,"WP_013258818.1,WP_013259142.1",WP_013259140.1,WP_013257741.1,WP_013259139.1,"WP_013258034.1,WP_013257730.1",WP_013259127.1,,,,,,,,,,,,,,,,,,,,,,,,,WP_187288616.1,,,,,,,,,,,,
